details,prix,adresse,image_lien
Femelle manteau Opale,60 000CFA,"Thies, Sénégal",https://images.coinafrique.com/thumb_3526942_uploaded_image1_1642346260.jpg
Lapins Angoura,15 000CFA,"HLM, Dakar, Sénégal",https://images.coinafrique.com/thumb_3521996_uploaded_image1_1642019964.jpg
Pigeons,Prix sur demande,"Guediawaye, Dakar, Sénégal",https://images.coinafrique.com/thumb_3521128_uploaded_image1_1641989046.jpg
Lapins,40 000CFA,"Hann Bel-Air, Dakar, Sénégal",https://images.coinafrique.com/thumb_3520760_uploaded_image1_1641976763.jpg
Poule Bleue Hollandaise,15 000CFA,"Mbao, Dakar, Sénégal",https://images.coinafrique.com/thumb_3513806_uploaded_image1_1641562270.jpg
Pigeon Crimpan,75 000CFA,"Diamalaye 1, Dakar, Sénégal",https://images.coinafrique.com/thumb_3505148_uploaded_image1_1641130075.jpg
Couple de poule Brahma ,Prix sur demande,"Parcelle Assainies, Dakar, Sénégal",https://images.coinafrique.com/thumb_3502325_uploaded_image1_1640848021.jpg
Jeune mâle Brahma,Prix sur demande,"Parcelle Assainies, Dakar, Sénégal",https://images.coinafrique.com/thumb_3494983_uploaded_image1_1640242888.jpg
Poule cou nue,16 000CFA,"Guediawaye, Dakar, Sénégal",https://images.coinafrique.com/thumb_3473109_uploaded_image1_1638884949.jpg
Couple pigeons cravate,25 000CFA,"Dakar, Sénégal",https://images.coinafrique.com/thumb_3468974_uploaded_image1_1638651001.jpg
Poules,3 000CFA,"Dakar, Sénégal",https://images.coinafrique.com/thumb_3464218_uploaded_image1_1638449183.jpg
Poules,Prix sur demande,"Dakar, Sénégal",https://images.coinafrique.com/thumb_3464191_uploaded_image1_1638448708.jpg
Poules,3 000CFA,"Mermoz-Sacré Coeur, Dakar, Sénégal",https://images.coinafrique.com/thumb_3447997_uploaded_image1_1637496004.jpg
